time,joint0,joint1,joint2,joint3,joint4,joint5,joint6,joint7
3.466666670000000394e-01,6.626929258164748759e+00,6.679807426378054913e-01,-1.099496547711508221e+01,-2.127322992492853260e+01,-1.201878939024325099e+01,9.237715676477584736e+00,4.145802897591025271e+01,4.611994927057870086e+01
3.483333339999999945e-01,6.519853560855183972e+00,1.045696050226653462e+00,-1.047840789082122726e+01,-2.157083857838880547e+01,-1.331682040369516962e+01,8.070164805075838999e+00,4.069715120621884097e+01,4.644450141451729763e+01
3.499999999999999778e-01,6.402590081635720409e+00,1.426834287714833005e+00,-9.933646469704818571e+00,-2.181400687938890570e+01,-1.459374201155810624e+01,6.889955308699691194e+00,3.983586063278984568e+01,4.660615394474086060e+01
3.516666670000000439e-01,6.276551260509640073e+00,1.811203498288236569e+00,-9.361781912318976495e+00,-2.200091067048670723e+01,-1.584638793579441085e+01,5.698230027321915081e+00,3.888014519563333238e+01,4.661024986077029553e+01
3.533333339999999989e-01,6.142905817756645348e+00,2.198560552679746927e+00,-8.764129475577055572e+00,-2.213005375726217139e+01,-1.707124508637877369e+01,4.496088474333046037e+00,3.783580611828475071e+01,4.646334023948539738e+01
3.549999999999999822e-01,6.002567310850522198e+00,2.588515749832997148e+00,-8.142203833254715306e+00,-2.220025392228640726e+01,-1.826449043982690412e+01,3.284648948647801436e+00,3.670830285815797112e+01,4.617291799230200411e+01
3.566666669999999928e-01,5.856237705306604369e+00,2.980552079436479040e+00,-7.497682354004103544e+00,-2.221060069768890699e+01,-1.942218416000732972e+01,2.065100358176463313e+00,3.550287078400400276e+01,4.574699941422377236e+01
3.583333340000000033e-01,5.704436811602728419e+00,3.374026896981159318e+00,-6.832379052405067377e+00,-2.216045356358500840e+01,-2.054028043627111799e+01,8.387723470431909245e-01,3.422447688879194772e+01,4.519377401572846509e+01
3.599999999999999867e-01,5.547614635957111240e+00,3.768208208542222604e+00,-6.148245245862005603e+00,-2.204943492993935195e+01,-2.161463506330585460e+01,-3.928406314069503580e-01,3.287780919549668823e+01,4.452138898671847045e+01
3.616666669999999972e-01,5.386240966374075789e+00,4.162243227292227843e+00,-5.447341419339089441e+00,-2.187743975620136894e+01,-2.264116431642661098e+01,-1.628363688835889445e+00,3.146692522484357113e+01,4.373789656943559834e+01
3.633333340000000078e-01,5.220838138489637181e+00,4.555158446428406727e+00,-4.731804122282834868e+00,-2.164467409335044223e+01,-2.361573886356866936e+01,-2.866613176171871391e+00,2.999541102278528371e+01,4.285095945506088810e+01
3.649999999999999911e-01,5.051842042114424558e+00,4.945881866305689378e+00,-4.003850341237580324e+00,-2.135171156804680948e+01,-2.453418178549312501e+01,-4.106446074983189476e+00,2.846639545510167224e+01,4.186762460122503171e+01
3.666666670000000017e-01,4.879449146681202443e+00,5.333287670946994297e+00,-3.265665776842872070e+00,-2.099954123421594332e+01,-2.539243025211817795e+01,-5.346394849823341566e+00,2.688250007598412594e+01,4.079425401029759257e+01
3.683333340000000122e-01,4.703650390692792449e+00,5.716240923363885784e+00,-2.519369149736442548e+00,-2.058961132851984743e+01,-2.618652311485592676e+01,-6.584564033682939410e+00,2.524584449653151097e+01,3.963654634857906700e+01
